score,n_estimater,criteria,max_feture ,Random_state
0.7729141749079622,78,squared_error,log2,72
0.7925105778932608,80,friedman_mse,sqrt,70
0.7996073284662901,79,squared_error,sqrt,71
0.7891697549017581,82,friedman_mse,sqrt,68
0.801783332271479,81,friedman_mse,sqrt,69
0.7923043585658578,80,squared_error,log2,70
0.7924548748103584,82,squared_error,sqrt,68
0.7589533196971707,83,friedman_mse,sqrt,67
0.802096754754243,81,squared_error,log2,69
0.794614638513146,80,squared_error,sqrt,70
0.7948451725199883,82,friedman_mse,log2,68
0.7894678151655105,82,squared_error,log2,68
0.7993655958368092,81,squared_error,sqrt,69
0.779968952134834,84,friedman_mse,sqrt,66
0.8060857398594697,85,friedman_mse,sqrt,65
0.7779924942971959,84,squared_error,log2,66
0.7698023509842224,86,friedman_mse,log2,64
0.7622300796972188,83,friedman_mse,log2,67
0.8078128568130563,85,squared_error,log2,65
0.7602085581254219,83,squared_error,sqrt,67
0.779136044750859,84,squared_error,sqrt,66
0.7701535587585159,86,squared_error,log2,64
0.7740100540324246,84,friedman_mse,log2,66
0.7433457652632791,88,friedman_mse,log2,62
0.8069164919878268,85,squared_error,sqrt,65
0.77724709342542,87,squared_error,sqrt,63
0.7813355343551407,87,squared_error,log2,63
0.7770423952378926,87,friedman_mse,log2,63
0.8076356139136318,85,friedman_mse,log2,65
0.7668347967941549,86,squared_error,sqrt,64
0.7735887707721625,87,friedman_mse,sqrt,63
0.7776589894532409,89,squared_error,log2,61
0.764484204318329,86,friedman_mse,sqrt,64
0.7389670255873226,88,squared_error,sqrt,62
0.7406151252468993,88,friedman_mse,sqrt,62
0.7791883546830848,89,squared_error,sqrt,61
0.7652987262270228,90,squared_error,sqrt,60
0.7780621816016584,89,friedman_mse,log2,61
0.7413552716956208,88,squared_error,log2,62
0.7721447761796789,90,friedman_mse,sqrt,60
0.8000538184500633,91,friedman_mse,log2,59
0.7922998082087688,93,squared_error,log2,57
0.7770562380804773,90,friedman_mse,log2,60
0.7735657397748708,92,friedman_mse,sqrt,58
0.7770903109997979,89,friedman_mse,sqrt,61
0.797836410455133,91,friedman_mse,sqrt,59
0.7995253794441557,91,squared_error,log2,59
0.7970409652669623,91,squared_error,sqrt,59
0.7785715073302717,92,squared_error,log2,58
0.76608982581006,90,squared_error,log2,60
0.7762975190218692,92,friedman_mse,log2,58
0.7897349311983723,93,friedman_mse,sqrt,57
0.7617994050319921,96,friedman_mse,sqrt,54
0.7774541549028643,92,squared_error,sqrt,58
0.7870884627539397,93,squared_error,sqrt,57
0.8087909520449386,94,friedman_mse,sqrt,56
0.7603875392499351,96,friedman_mse,log2,54
0.7805014860359354,95,squared_error,log2,55
0.7787721308141533,95,friedman_mse,sqrt,55
0.8085853475357558,94,squared_error,log2,56
0.7711486264109797,97,friedman_mse,log2,53
0.8096678393745056,94,squared_error,sqrt,56
0.8101830873504214,94,friedman_mse,log2,56
0.7821664381240399,95,friedman_mse,log2,55
0.7888154198321576,93,friedman_mse,log2,57
0.7630491611968113,96,squared_error,log2,54
0.7807914517102383,95,squared_error,sqrt,55
0.77191848228944,97,friedman_mse,sqrt,53
0.7637531491239462,96,squared_error,sqrt,54
0.7460745635106265,98,friedman_mse,sqrt,52
0.7913988271535725,99,squared_error,log2,51
0.7886196288448725,99,squared_error,sqrt,51
0.8017915824524666,100,squared_error,log2,50
0.7692169091233496,97,squared_error,log2,53
0.7457091992605706,98,friedman_mse,log2,52
0.7683087530051366,97,squared_error,sqrt,53
0.794134530430535,99,friedman_mse,sqrt,51
0.7916494050456386,99,friedman_mse,log2,51
0.7455078960565139,98,squared_error,sqrt,52
0.7443831680815245,98,squared_error,log2,52
0.8014597699920682,100,squared_error,sqrt,50
0.8015145243304155,100,friedman_mse,sqrt,50
0.800750520251072,100,friedman_mse,log2,50
0.7342936802091942,50,friedman_mse,,100
0.7365525997502718,50,squared_error,,100
0.7652327948647886,52,squared_error,,98
0.7689800503265127,52,friedman_mse,,98
0.7443708577166219,51,squared_error,,99
0.7446813576939986,51,friedman_mse,,99
0.7599907805226835,53,friedman_mse,,97
0.7650382621409971,53,squared_error,,97
0.8094375883256885,54,squared_error,,96
